movie,sentence,score
씽2게더,OST가 너무 좋다…,10
스파이더맨: 노 웨이 홈,짜증나쓸데없는 대사애들장난에 우주 운명을 건다 ㅋ,1
데몰리션 맨,"온건한 디스토피아(?)에 떨어져 뜨개질 하는 람보, 웨슬리 스나입스의 춤사위 같은 무술이 볼거리. 90년대 영화답게 표현된 미래 분위기, 요즘에는 보기힘든 말초적인 코미디가 반갑고 정겹다. 헉슬리(&amp;#39;멋진 신세계&amp;#39;의 올더스 헉슬리를 노린 듯) 역으로 나온 산드라 블록이 무척 귀여움.",8
니 부모 얼굴이 보고 싶다,연기도 최고 몰입도 최고 빡침체고,10
베놈 2: 렛 데어 비 카니지,"볼만함, 마블인데 킬링타임용 이라니",6
니 부모 얼굴이 보고 싶다,소재는 굉장히 좋았으나 상당히 애매하게 만든 영화..,7
언차티드,대충대충 두루뭉실 이지만 아무 생각없이 딴일 하며 볼수있는 킬링타임용으로 그럭저럭,5
예스 맨,"예스, 노. 이분법적으로 사고하지 말고 이왕이면 긍정적으로. 집을 나오는 것, 비행기 조종이나 외국어를 배우는 것, 사람을 만나는 것도 중요.",5
365일: 오늘,진짜 너무 눈이 즐겁고 재밌긴한데..진짜인가요 ..? 아무리 봐도 두 배우 이번 편에서는 진짜로 한 거 같은데...,10
서울괴담,영화 보다가 중간에 나온 영화는 또 첨.. 돈 아깝다,1
스텔라,삼류도안되는 사류영화,1
불도저에 탄 소녀,삼류영화도 못됨 사류영화,1
버블,마지막에 결국 울어버렸습니다,10
우주 전쟁,"와 진짜 우리나라 영화 평론 수준이 이정도밖에 안 되나? 아니, 무슨 주인공 자녀 행동 암 걸린다고 이걸로 영화 전체를 평가해버리네ㅋㅋㅋ 수준 높다 진짜ㅠㅠ 우리나라 영화계가 이 영화 개봉한지 17년이 지나도록 여전히 왜 이 모양 이꼴인지 단번에 드러나는 순간ㅋㅋㅋㅋ 평생 그냥 신과 함께, 은밀하게 위대하게, 7번방의 선물, 부산행이나 봐라 이게 니들 수준에 맞는 영화다",10
킹메이커,좌파영화의 한계. 한때는 변호인같은 전 대통령 우상화 하는 영화들에 국민들이 속아주던 때도 있었지만 요즘 mz세대를 필두로 더이상 이런 우상화 좌파 영화에 속는 국민이 많지 않다.  보수 우파들은 과거부터 이어져온 쓰레기. 좌파들은 이에 대항해 오던 혁명가들. 이란 프레임 그만 써먹을 때도 되지 않았던가? 영화판이 워낙에 좌파만 있기에 이런 영화가 계속 나올수 밖에 없단건 알지만 문재인 5년으로 알만한 사람은 다 알아버렸단 말이지.좌든 우든 똑같은 쓰레기. 우는 재활용 되는 좌는 쓰레기 아닌척 하는 쓰레기. 내로남불 5년이다. 이런 영화에 아이고 김대중이 대단한 대통령이었네. 역시 민주당 하고 감동 하는 사람이 있겠냐고? 중국몽을 함께 한다는 민주당 좌파들이 만든 낡은 프레임 영화 대신 차라리 진짜 권력을 놓고 맞붙는 정쟁을 다룬 정치 영화를 만들었으면 좋았을듯. 내부자들을 봐라. 거기에 좌가 있나 우가 있나. 그냥 권력과 남자 싸움만 있잖아. 좌파 영화인들도 좀 깨달을 때가 되진 않았나? 21세기도 20년이 넘게 지나가고 있다.,4
공기살인,실화와 관련된영화여서그런지 더 가슴아프고 스토리도 너무좋았습니다 다시한번 가습기 피해자에 대한 생각을 들게합니다,10
노바디,진짜 꿀잼  연출과 시원시원한 액션 뻔한내용을 뻔하지않게 만드는 빛나는 연출과 연기,10
어나더 라운드,볼만합니다...,6
신비한 동물들과 덤블도어의 비밀,최고의 영화! ^_ 추천합니다,10
서울괴담,완전 재밌어요 근데 제가 볼 땐 무섭진 않았어요..ㅠ 그리구 몬엑 셔누랑 덥즈 주학년 진짜 잘생겼어요 완전 잘생겨서 오늘 봤지만 내일도 셔누랑 주학년 얼굴 때문에 보려구요 진짜 완전 잘생겼어요 한 번 봐보세요,10
365일: 오늘,보는ㄴ내내 여주 한결같이 답답하고 고구마 100개 먹은 느낌 끝날때 까지 사이다 없음.새드엔딩 내가 이걸왜봤지 하.. 그렇다고 그렇게 야하지도않음 야한거 보고싶으면 그냥 야동을 보는거 추천,1
예스 맨,한 마디로 이상한 기분이 들었던 영화. 무조건 예스는 오예스일지도,5
그것만이 내 세상,내용을 다 알고 봐도 재미있는 기이한 영화.이걸 아무 정보 없이 봤다면 훨씬 재밌었을텐데 아쉽다.비록 여러가지 기술을 썼겠지만 배우들이 연주에 익숙해지려고 대단한 노력을 한 게 보인다.,9
공기살인,아니 근데 왜 원작이 소설로 나와있냐?,5
분노의 질주: 더 얼티메이트,분노의질주는 7븐이 끝.,2
"장화, 홍련","이거 뭐하는 영화지이거 볼 시간에 딴거볼걸 그랬다는 생각만 든다다들 나랑 같은 생각일줄알고 평점보러 왔더니 가관이구만식스센스 비슷한 느낌은 아니고 식스센스 따라하려고 했다는 생각만 든다,영화에 약을 풀었는지 알바를 풀었는지는 모르겠지만 이거 볼 시간에 딴거보길 추천",1
싱크홀,7점 너무 높다이런영화는 난너~~~~무싫타,2
야연,당신이 준 술을 어찌 거절하겠소...크...찢었다,10
이상한 나라의 수학자,오랜만에 감동적인 영화를 봤습니다.,10
니 부모 얼굴이 보고 싶다,몰입감 지렸습니다 전개가 숨막힘,10
이상한 나라의 수학자,지루하지 않고 재밌네요 결말이 뻔하긴 하지만 ㅎㅎ;,8
공기살인,현실이 참 안타깝습니다.이런 일이 있었다고 알려준 영화. 내 가족이 피해를 입을 수 있었던 일.,10
야차,"간만에 영화다운 영화 봅니다연기, 스토리, 연출력 훌륭했습니다",10
앵커,이런 영화가 많이 나와야 한다고 생각한다 천우희 연기마저 완벽함,10
니 부모 얼굴이 보고 싶다,저와아들은 니 부모얼굴이보고 싶다 영화를 보고 왔어요 뒷분에 가서 아쉬운 부분감이 있어요 변호사 설구경과 한결이 둘다학교폭력 잘못이 있어서 반성 하는데기미조차가 없네요 보면 볼수록 말이죠 에휴ㅠㅠ,8
님은 먼곳에,잘봤습니다 영화퀄리티가 굉장히높은영화인듯합니다,10
니 부모 얼굴이 보고 싶다,이 영화는 부모와 학생들이 많이 봐야해요!!현실은 더 하겠죠ㅜ,10
중경삼림,영상미와 ost가 너무 좋았어요 양조위 얼굴도 짱!,9
동경 이야기,"당대인들에게 어쩌면 이 잔잔한 작품은, 혼신을 다한 긍정이요, 기를 써 행한 치유였는지도 모르겠다.",9
뜨거운 피,신세계랑 비벼도 될듯 이정도면 수작,8
빅쇼트,아무도 책임지지 않는 자본주의의 이면,9
더 컨트랙터,크리스 파인 ! 연기력 짱 ! 한국에 오면 제가 쏠께요 ㅋㅋ,10
미쓰 와이프,잼나요  감동과 코믹  추천합니다,10
니 부모 얼굴이 보고 싶다,"부모가 될 계획이 있거나 부모라면 꼭 봐야할 영화.영화 보고 정말 많은 생각이 든다.우리나라 법의 부족함, 경찰의 무능력, 약한 교권 등의 수많은 부분들을 생각하게 된다.문제는 현실에도 이런 상황이 있다는 사실이 더욱 최악이라는 생각이 든다ㅠㅠ",9
로스트 시티,나름 재미있게 잘 보고 왔어요 ㅋㅋㅋ,7
미스 리틀 선샤인,ㅋㅋㅋ아역배우 넘 러블리♡,10
니 부모 얼굴이 보고 싶다,마지막은 예상도 못했는데 소름이였다,10
몬스터 아카데미,영화가 초등아래로는 어려울영화임중간에 나가는 사람많음...재미포인트가 전혀없음,2
공기살인,재미는 그닥 하지만 보셨으면 합니다.영화보다 나도 모르게 욕나왔어요,10
덤 앤 더머,19금적인 요소가 있긴한데 짐캐리 표정 하나하나 웃기고 모든 장면이 명장면임 어쩜 이렇게 웃긴지 폭소수준.. 무서운영화 순한맛인듯 ㅋㅋㅋㅋ,10
중경삼림,프리 홍콩 ...우리가 지지해주지않는다면 앞으로 이런 독창적인 홍콩영화를 다시는 볼 수 없을겁니다.,10
극장판 귀멸의 칼날: 무한열차편,렌코쿠... 더빙으로 봐더 역시는 역시다!,10
리빙보이 인 뉴욕,막장 일줄 알았는데 아니네..토마스는 자신의 아버지 불륜을 막으려다...오히려 자신이 아버지의 불륜녀 조한나와...눈이 맞아....ㅎㅎ 토마스의 아버지인 피어스 브로스는 아들을 불러 &amp;#34;너 나에게 할 말 없냐고&amp;#34; 다짜고짜 묻는 바람에 토나스는 어리둥절하여 내심 조한나와 만나냐 는 얘기 인줄알고 ㅋ헌데 그게 아니라 상담하러 왜 안간냐고 하는 바람에..그제서야 토마스는 안심이 노이고...ㅎ  헌데...나중에 알고보니 상담사가  자신의 (토마스)친 아버지 인것을 알고...,3
쿠폰의 여왕,"많은 사람들이 생각만 하던 일을 실행에 옮겨버린 여왕의 이야기! 실제에서는 있어서는 안되지만, 실화를 바탕으로 만들어져 스토리가 더 탄탄했던 것 같다",7
타짜 전설의 땁,으아아아악 소리질럿~!,1
스파이더맨: 노 웨이 홈,유치원 다닐때 집에서 처음 스파이더맨 보면서 스파이더맨 따라하고 초등학교때 친구들이랑 어스파 보러다니고 고등학교때 어번져스랑 톰스파에 빠져서 성인이 되서 이 영화를 보니까 가슴이 찡~하다,10
서울괴담,진짜 개노잼 다큐를 보는게 더 재밌을듯,2
서울괴담,와 이거 나만 볼수 없다 이런 명작 다른 사람들도 봤으면 너무 명작임,10
추억의 마니,그동안 본 지브리 중에 가장 재미가 없네요제 취향이 아닌 듯...지루했습니다,5
늑대의 유혹,조한선이 잘생겼지 솔직히 강동원은 별루,10
플립,"평소 즐겨보고 좋아하는 영화들이 자극적이지 않고 큰 반전도 없는 잔잔하지만 마음을 편안하게 해주는 영화들이었다. 그런 면에서 플립이라는 영화는 나에게 꽤나 좋은 영화로 기억에 남았다. 우선 다 보고 난 뒤에 여운이 남았다는 점에서 이 영화는 높게 평가될 만 하다. 또한 줄리의 올곧은 가치관과 편견없이 사람을 대하는 태도 역시 마음에 들었고 등장인물들의 대사가 많은 생각을 하게끔 하였다. 그리고 그 사이에 청소년들의 풋풋한 사랑이야기를 더해 설렘과 재미요소를 더하였다. 줄리네 가정을 보고 많은 생각이 들었다. 참으로 이상적인 가족의, 사람의 풍경 같다. 강하고 바른 줄리의 모습처럼 살고 싶다고 생각했다.",10
고양이의 보은,바론 너무 좋아.. 오지게 멋있음,10
니 부모 얼굴이 보고 싶다,아이가 있어 몰입해서 봤네요 ㅠㅠ뭔가 묵직한 메세지가 다시 한번 생각해보게되는7광구 감독님이었다니 진작 이런걸 하셨어야죠,10
동경 이야기,나는 오늘도 죄를 짓고 있는 건 아닐지,9
소설가의 영화,당신은 누구인가요... 현실과 이상의 차이를 다시 생각해보게 됨,8
야차,"이 영화는 반일본정서가 문제가아님. 배우진은 좋으나 연출가 스토리가 기기막히게 별로임. 엿같은 연출과 그때마다 나오는 슬로우 효과, 너무 흔한 첩보물 클리셰 등등 단연코 최근 개봉한 첩보물 중 최악임. 중간에 쥐씬에서 말문이 막혔고 마지막 일본인이랑 아웅다웅을 한 10분 하는거보고 나도 영화감독을 해도 되겠다라는 생각이 들었음.",2
니 부모 얼굴이 보고 싶다,부모의 마음은 이해하지만 자식의 범죄를 적극적으로 숨기는것은 자녀의 인생과 삶을 망가트리는게 아닌가 싶다. 권력자와 돈있는자들이 꽁꽁 뭉쳐있다는게 놀랍지도 않은 세상이지만 대한민국이 좀 더 공정한 세상이 되길..,6
문폴,중국 스랍다 어휴 2시간 돌려줘라 제작비 날릴 돈으로 불우이웃이나 도와.,1
뜨거운 피,마 재미없누..깡패들,3
포화속의 우정,정말 재밌는 영화 그자체 시간가는줄모르게 몰입해버림,10
야차,뺑반이후로 최악이었다,2
도둑들,진짜 재밌음...또보고또보고 !! 인생영화,10
매트릭스 3 - 레볼루션,"네오와 트리니티의 사랑도 볼만하고,센티넨탈의 떼공격도 흥미롭습니다.",10
니 부모 얼굴이 보고 싶다,그냥 뭐 별로였어요..,6
서울괴담,보다 나왔어요차라리 인터넷 괴담을 읽으세요,1
신비한 동물들과 덤블도어의 비밀,"시리즈 재밌게 보고 있어서 4,5편도 보고 싶은데...ㅠㅠ",7
화양연화,절제된 대사  주인공의 표정연기가 돋보인다  10년이 지나 다시보니 젊었을때 보이지 않던게 보인다,8
악마는 프라다를 입는다,이런 달콤한 여운이 남는 영화를 본 기억이 언제쯤인지 생각도 안난다. 빌어먹을 마블 유니버스.,10
니 부모 얼굴이 보고 싶다,뻔한 스토리지만 약간의 반전있음,7
니 부모 얼굴이 보고 싶다,사실 드라마나 로맨스 같은 건 잘 안보는 타입인데.. 친구추천으로 보게 되었어요.. 다만 줄거리를 보지 않고 바로 본거여서 이렇게나 트라우마가 있는 영화일줄은 모를정도로 몰입감이 좋았습니다.한때 저도 학폭피해자였지만 제가 저기에 있어도 별다를건 없다고 생각해요.. 이번 영화는 꼭 학교에서 교육적으로 다뤄주었으면 하는 스토리네요..,10
미쓰 와이프,이 영화로 엄정화 대 배우님을 찐으로 존경하고 좋아하게 됐어요 멋지십니다!,10
공기살인,"오늘 와이프와 같이 잘 보고 왔습니다. 평론가 평점에 연연하지 마시고, 한번 보세요. 우리 가족에게도 일어날 수 있는 일입니다.",8
하트 오브 더 씨,일단 살고봐야 뭐든 할 것 아니겠는가,7
잃어버린 도시 Z,웅장하지만 친절하진 못하다,6
언차티드,"영화로 옮긴 게임, 재미도 같이 희석되었다",6
블랙라이트,리암니슨옹 이제 뛰는 것도 버거워 보입니다.,7
스텔라,1990년초반에  어린이 시절에 스텔라 타던 기억이 문득나네 ㅠㅠ,10
서울괴담,너무 재미있네요 추천합니다,8
봄날,영화 스토리  연기진짜  무슨 내용인지..재미 없어도  너무 재미 없어요 ㅜ,2
니 부모 얼굴이 보고 싶다,학폭 피해자 누나의 입장에서 보면서 너무 가슴아파서 눈물 흘리며 봤어요학폭 안당해본 사람은 그 트라우마랑 마음을 모를겁니다.. 학폭 경각심 가져야돼요. 언제 내 아이가 피해자가 될지 모르니..,10
서울괴담,많이 많이 봐주세요ㅎㅎ!!,1
심플 플랜,"영화중 아내가 돈 때문에 미쳐서 여태 남편과 보냈던 소소한 일상이 지옥이고,행복하지 않다고 말하는 장면이 젤 소름돋음 돈을 알기 전까지는 자신이 행복한 사람이라고 생각하고 살았는데 , 돈떄문에 인간이 타락하는 장면을 잘보여줌",10
이별의 아침에 약속의 꽃을 장식하자,눈물 와르륵...ㅠㅠㅠ,10
오아시스,어릴때 알고만있었던영화였는데 삼십대가되서야 이걸봤네요ㅜ 너무 재밌게봤습니다,10
돈 룩 업,이런스타일의 영화를 좋아하는 사람들이 많을줄은.. 어디가 웃긴지.. 어떤류의영화인지는 알겠지만..,4
버블,작붕 개쩔고 pv에서는 영상미를 강조했지만 그런 장면은 몇초 안되고 전체적으로 작화 퀄이 떨어짐 차라리 나루토 tv판이 훨씬 나음. 스토리도 유치뽕짝임.,1
서울괴담,무섭지는 않고 그냥 아이돌 대잔치네요,4
뜨거운 피,스토리를 잘 풀어서 관객들이 이해하게해야지!,4
니 부모 얼굴이 보고 싶다,정말 현실적인 제가 부모여도 똑같이 했을거같아요잘봤습니다.,8
앵커,스릴러인 줄 알았는데 호러와 섞인 영화. 긴장감이 있으나 끝이 약하다.,6
니 부모 얼굴이 보고 싶다,아이가진 부모로서내가 가해자 학부모였다면...과연 어떻게했을까하는생각을 가지게해주는 영화,10
베놈 2: 렛 데어 비 카니지,으악 넘 유치찬란함,5
뮤지컬 킹키부츠 라이브,영화값이 비쌌지만 큰화면으로 볼 수 있어서 좋았음,8
극비수사,"마지막에 도움도 약은 놈들이 공을 가져가고 승승장구한게 진절머리였음. 실화바탕이라 더 기억에 남을 것 같고 영상미 갬동, 곽경택감독님도 좋음!",10
서울괴담,짱!후회 안하고 오줌 질질 싸고 갑니다 ㅎ,10
언차티드,가족들과 같이 보긴 좋은영화. 중간중간 피식거리기도 하고,10
덩케르크,미국과 다를바 없는 영국의 지극히 민족영웅주의 영화.감독이 감독인지라...,2
야차,한국영화들 중에 좀 재밌는 편,10
덩케르크,미국과 다를바 없는 영국의 지극히 민족영웅주의 영화.감독이 감독인지라...,2
야차,한국영화들 중에 좀 재밌는 편,10
덩케르크,미국과 다를바 없는 영국의 지극히 민족영웅주의 영화.감독이 감독인지라...,2
야차,한국영화들 중에 좀 재밌는 편,10
러브레터,저에게는 인생영화입니다. 50번은 본것같네요. 대답없는 산을 향해 잘지내냐는 질문을 던졌을 여주인공의 마음이 어땠을지..  몇번을 반복해서 볼때마다 다르게 더 아프게 느껴지더라구요ㅠ,10
공기살인,좋은 영화 소재였고 잘 보았습니다. 다만 이전 영화나 드라마의 모티프가 별 여과없이 활용되었다고 생각된 점이나 각색하는 과정에서 다소 말이 안 되는 부분들이 보여서 10점은 어려울 듯합니다....,9
소설가의 영화,홍상수는 홍상수다,7
니 부모 얼굴이 보고 싶다,"니 부모 얼굴 보다가 감독 얼굴 찾겠음 ㅡㅡ 영화 디테일 너무 떨어지고 전하고자 하는 스토리의 포인트도 없음.. 그나마 배우들 연기력 때문에 몰입해서 봤는데 허망한 결론, 앞뒤 맞지 않는 디테일들 영화 너무 대충 만듬",1
니 부모 얼굴이 보고 싶다,연기 지리누,7
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",이게 왜 영화로서 평점을 받아야 하는 작품인지 전혀 알 수 없습니다.,1
플래시댄스,껍질을 깨고 날아 오르다.,10
신비한 동물들과 덤블도어의 비밀,"배우의 활용, 스토리의 개연성, 주제의식 그 어느 하나도 만족스럽지 않음. 뉴트의 그 특유의 소심한 듯한 눈빛과 그렇지 못한 행동들만이 즐거울뿐",3
신비한 동물들과 덤블도어의 비밀,스토리 위주로 전개되다보니 화려한 액션이나 CG를 너무 기대하지 않는다면 충분히 좋은 평을 받을 수 있었을것 같은데 실제는 평이 안좋은게 아쉬움. 불필요한 쿠키영상이 없어서 더 나았음. ㅋ,8
불도저에 탄 소녀,정말 기대없이 봤는데 연출 시나리오 배우 연기모든게 완벽했던 영화입니다.,10
앰뷸런스,굿...,9
공모자들,이런 명작이 평점이 왜 이러지 ㅎㄷㄷ,10
로스트 시티,미국식 코미디이지만 유명 배우들 보는 재미가 있다.,7
야차,한국영화들 중에 좀 재밌는 편,10
더 배트맨,1점도 아까운 망작중의 망작. 클레멘타인 보는줄 알았네,1
열대왕사,영상과 연기는 넘 좋은데 다소 아쉬운 스토리의 긴장감,7
365일: 오늘,1점도 아깝다,1
더 배트맨,용이 되어보려다 이무기는 커녕 지렁이로 남은 영화. 한껏 무게감 있어보이려는 겉멋밖에 남지 않은 영화.,6
뜨거운 피,조폭 영화는 시대에 좀 안맞는 듯,6
더 컨트랙터,너무 뻔한 스토리. 이런 소재의 영화는 이제 진부하다. 배우들 연기는 굿!,7
니 부모 얼굴이 보고 싶다,오랜만에 본 영화 재밌고 감동이다,8
언차티드,빅재미 평점이 이렇게 낮을 정도는 아닌데,10
배니싱: 미제사건,지루하다. 극비추한다.,3
언차티드,옛날영화 구니스가 몇배나은듯,6
신비한 동물들과 덤블도어의 비밀,"배우들 연기는 참 잘하더라구요. 허무맹랑한 스토리인데 한 순간 순간에 얼굴로 서사를 담는 능력 정말 대단합니다. 근데 만리장성?이랑 기린의 선택 장면부터는 너무 스토리가 유치해졌어요. 아기기린한테 선택받는게 선거인가요;, 미신짬뽕인데 어디서 본듯한 클리쉐를 다른 장르에서 가져와 짬뽕한 느낌. 아마도 중국 무협영화나 판타지? 그리고 제일 충격인건 덤블도어가 스 모시기 남자 악당이랑 사랑을 나눴다는 뉘앙스의 대사.. 아 진짜 12세인데 짜증났음 아이가 스토리를 이해 못해서 못알아들어서 다행이었습니다.;,",6
블랙라이트,리암 형이 나와서 볼만하긴 한데 연출이 좀 딸리네,6
서울괴담,공포영화의 가뭄 속에서 단비같은 영화 공포매니아 입장에서 이런류의 새로운시도 너무 좋아요 화이팅,10
레버넌트: 죽음에서 돌아온 자,긴 러닝타임 중간중간의 지루함이 단점. 그와 동시에 모순적이게도 중간중간의 지루함이 오히려 관객들로 하여금 더욱 주인공의 처절한 상황에 몰입할 수 있도록 만든다. 이러나 저러나 깊이 있는 감정전달과 충분한 재미를 선사하는 잘 만든 영화!,8
사도,".,,,/-,,,,",10
신비한 동물들과 덤블도어의 비밀,아니 왜 평점 낮아요? 해리포터 덕후라 그런가 진짜 너무 재밌었는데요ㅠㅠㅠ 해덕이신분은 진짜 감동스러웠습니다....,10
더 배트맨,다크함은 좋으나 지나친 실사는 별로,6
서울괴담,"초반엔 별 재미 없었는데, 마네킹이 체고였다…",10
신비한 동물들과 덤블도어의 비밀,지금까지 본 영화중 손꼽히는 최악,1
버블,여기 재미없다고하는 사람은 정신적으로 문제있는사람들이고 사회성결여된 사이코패스일 확률높음,10
노바디,이정도면 잘 만든영화다,8
"연애, 그 참을 수 없는 가벼움",이런 좋은 명작 보여주세요당신만 가지고있기 정말 아깝습니다누구의 기억이든 같이 공유해요,10
신비한 동물들과 덤블도어의 비밀,"리뷰에 하도 재미없다고 해서 볼까 말까 조금 고민하다가 그래도 좋아하는 시리즈라 봤는데, 생각보다 재미있었다.  지팡이 마법과 신기한 동물들 분위기 만으로도 그냥 힐링된다. 줄거리와 연출은 좀더 보완해 주길...",6
극장판 주술회전 0,슬프다 슬퍼.... 울 뻔 했음,10
서울괴담,와우....재밌네요....,1
몬스터 콜,이상하게 자꾸만 ‘맨체스터 바이 더 씨’가 생각났다. 코너는 연기 천재인듯. 그의 눈빛 연기에 압도당하며 시종일관 숨죽이며 봤다. 엄마와 코너를 바라보는 몬스터의 따뜻한 눈빛.. 나도 함께 위로 받는 기분..,10
니 부모 얼굴이 보고 싶다,니 부모가 어디까지 추해지는 지 많이 보았다.(영화가 너무 허술함),6
더 배트맨,이게 영화냐아오 졸려쥭겟네,1
도굴,100점 까지는아니지만 이재훈 나오고 그외 다른 요소도 나쁘지 않았습니다 나름 권선징악도 있고 스토리랑 편집도 나쁘지않은 킬링 타임 영화였습니다 2편도 나오길 바랍니다,10
야차,"평점보고 볼까말까 고민했는데 10점과 1점 사이 호불호가 왜 갈리나 했다. 액션 영화를 좋아하는 사람들에겐 나름 재밌게 볼 수 있는 영화임. 사실 10점까진 오버고 킬링타임용으로 7~8점 정도는 줄 수 있는 영화인데 정치적으로 1점을 도배한 친일들이 있는 것 같고, 그들 때문에 평점 속아서 나처럼 안볼뻔한 사람들도 있을 것 같아 점수 좀 더 올림.내용에 북한이랑 뭐 한 것도 없는데 종북좌파로 모는거 보니 친일파가 이렇게 많다는걸 새삼스럽게 느낌. 영화를 영화로 안보고 정치적으로 보니 친일들에겐 1점짜리 영화일수 밖에. 덕분에 처음으로 영화 평점 남겨봄.",10
숨바꼭질,특급 고구마 비현실적 에휴 내 주말,1
극장판 주술회전 0,재밌네,10
먼 훗날 우리,중심 내용 자체는 평범한 멜로 이야기이나 중간에 낀 가족 이야기는 비중  측면에서 좀 어색한 부분이 있다.,6
특송,애기 꼴보기싫다 완전 발암덩어리 볼때마다 답답함이 밀려온다 연기도 별로고 이아이 하나땜에 할수 있는 모든것들을 못하게 만드는 민폐캐릭터 ㅡㅡ,1
허삼관,중간에 아버지 돌아오세요 아버지 돌아오세요 라고 울면서 말할 때 어쩜 그렇게 눈물이 나는지 돈이 아깝지 않은 명작이였습니다이걸 극장에서 봐야 했는데 너무 늦게 네이버 시리즈온에서 접한게 아쉽네요 정말 좋은 영화였습니다,10
니 부모 얼굴이 보고 싶다,소리누나 눈물 좀 흘리셨으면 더와닿,6
니 부모 얼굴이 보고 싶다,비교적 최근에 관심받기 시작한 학교폭력이라는 소재를 사용하여 심파적이면서도 감동도 교훈도 없는 영화를 만들어냈다. 명배우들을 데리고 어떻게 이런 작품을 만들어낼 수 있는지 그것도 능력인 것 같다. 이 배우들이면 마피아 게임하는 것만 올려도 재미있을텐데.. 마지막 결말을 위해 앞 내용을 만든 느낌이라 앞부분 줄거리가 부실하다. 그리고 마지막 결말은 반전을 위해 억지로 짜낸 느낌이다. 그래도 사람은 변하지 않는다는 인상을 주는 것 같아 의미는 있었다.,2
소설가의 영화,젊음 이후의 여성 배우에게 제 목소리와 제 역할을 주는 보기 드문 영화.,8
더 포스트,이제야 알고 봐서 너무 아쉬운 영화. 배우와 감독만으로 안 볼 이유가 없다. 배우는 배우다.,10
더 컨트랙터,"어떤 의미에서는 신선하다.  조용히 몰입시키는 묵직함, 적절한 총격씬들.",7
러브레터,인생영화네요 봐도봐도~,10
버블,작화랑 영상미는 훌륭함 근데 스토리가 너무 인어공주 파쿠르 이상현상 로맨스 등등을 한작품에 다 욱여넣으려다 실패한 그런.. 난해한 느낌임 그러다보니 감동포인트도 좀 억지 아닌가..? 싶기도 하고.. 그냥 그랬다 시간 많으면 볼만함,7
이웃집에 신이 산다,파이이야기 이후 이런 감동은 처음,10
아멜리에,넘 예쁘구 멋진 영화~나두 아멜리에처럼,8
니 부모 얼굴이 보고 싶다,개연성이 약간 부족합니다 더 재밌게 풀 수 있었을 것 같은데 후반부에 흐지부지 끝나는 것 같아 아쉬워요 그래도 오랫만에 극장에서 본 영화로 돈아까울 정도는 아니에요,7
서울괴담,Cg랑 연기력이 부족햇으나 마음놓고 놀라기에 좋았음,10
여의도,좋은 작품이였어요~~그 시대의 여의도..뿐만아니라 88만원세대의 고달픈 삶이 문득생각났네요. 삶의 회한을 판타지와 같이 세련된 느낌으로 잘 묘사한듯,10
공주와 개구리,동심의 세계로~개구리들이 귀엽다..,10
푸리오자,킬링타임용 평점이 왜이러지,8
불도저에 탄 소녀,"김혜윤 배우의 연기력에 다시 한 번 놀라게 된 영화 였습니다. 단독 주연으로서 김혜윤 배우의 연기가 영화에 정말 잘 녹아있고 정말 열심히 이 배역에 대해 준비 했다는게 보였고, 박시우 군의 연기도 너무 좋았습니다. 두 배우 모두 앞으로 많은 작품에서 볼 수 있으면 좋겠고.. 구혜정, 구혜적 두 남매가 행복하길..",10
스텔라,이영화가 코미디영화였다는데 놀람..,2
뜨거운 피,"조폭들의 치열한 머리싸움...조폭으로서,친구로서 의리를 지키고자 했지만 어쩔 수 없이 휘말려 들어가는 상황...정우의 고뇌 가득찬 깊이 있는 연기...적은 관객수가 아쉽다.",9
뮤지컬 킹키부츠 라이브,완전 빠져들며 봤네요. 마지막엔 박수치고 싶었지만 꾹 참았네용.신나고 내용도좋고 연기력과노래 다 맘에 들었어요. 정말 실제로 보구싶은 뮤지컬이네요.,8
니 부모 얼굴이 보고 싶다,간만에 볼만한 한국영화네요..배우들 연기도 최고였고 스토리도 반전에반전을 거듭하는..인간의 내면을 깊숙히보여준 불편하면서도 좋은영화였습니다.,10
뜨거운 피,평들 ㅈㄴ 전문가인척 하네 이정도면 엄청 재밌는데? 흡입력이 뛰어남 뻔하지 않은 스토리여서 좋았네요,10
부러진 화살,이런 어처구니 없는일이 사법부에서 자행되었다는것에 대해 할말을 잃게 만드는군요~,10
서울괴담,너무 너무 무섭고 재밌습니다.저 너무 무서워서 눈감고 울었습니다. 다른분들 꼭 여자친구 남자친구와 같이 가서 보세요 .더욱 돈독한 사이가 될 수 있습니다.,10
신비한 동물들과 덤블도어의 비밀,이해 1도 안됨 재밌는건 중간에 꽃게 한개임 감독이 바뀌었나;;,1
신비한 동물들과 덤블도어의 비밀,호그와트나오고 배경등등그래서 영상미는있는데내용이 너무지루해요,6
신비한 동물들과 덤블도어의 비밀,해리포터의 뒷내용 까지 파던 찐팬들이라면 충분히 흥미로웠을 스토리 그러나 그 외 다수에게는 이해 못 할 스토리구성,9
신비한 동물들과 덤블도어의 비밀,"그냥....에디가 뉴트고 주드로가 덤블도어, 매즈미켈슨이 그린델왈드인 세계관이 짜릿하다 누가 등장해도 좋았음",6
엔드 오브 왓치,역대급 몰입감 현장감,10
야차,스토리가 개연성이 없고 반일 정서가 메인 테마,4
